A/Peru/3216/2016	EPI861994	EPI861995	EPI861993	EPI861997	EPI861990	EPI861996		EPI861990
A/Peru/2716/2016	EPI861986	EPI861987	EPI861985	EPI861989	EPI861982	EPI861988		EPI861982
A/Peru/8116/2016	EPI861963	EPI861964	EPI861962	EPI861966	EPI861959	EPI861965		EPI861959
A/Peru/81016/2016	EPI827187	EPI827188	EPI827186	EPI827190	EPI827183	EPI827189		EPI827183
A/Peru/1416/2016	EPI827179	EPI827180	EPI827178	EPI827182	EPI827175	EPI827181		EPI827175
A/Linkoping/4/2016	EPI867316	EPI867315	EPI867313	EPI867320	EPI867314	EPI867319		EPI867314
A/Kalmar/1/2016	EPI858664	EPI858663	EPI858661	EPI858668	EPI858662	EPI858667		EPI858662
A/Talca/62161/2016				EPI977511		EPI977512		
A/Vina/50464/2016	EPI838925		EPI838924	EPI838927	EPI838921	EPI838926		EPI838921
A/Valparaiso/57936/2016				EPI977503		EPI977504		
A/Valparaiso/50516/2016	EPI827203	EPI827204	EPI827202	EPI827206	EPI827199	EPI827205		EPI827199
A/Valparaiso/48134/2016				EPI823737		EPI823738		
A/Curico/63246/2016				EPI978525		EPI978526		
A/Valparaiso/63203/2016				EPI978523		EPI978524		
A/Hawaii/62/2016	EPI832242	EPI832243	EPI832241	EPI832245	EPI832238	EPI832244		EPI832238
A/Texas/187/2016	EPI841156	EPI841157	EPI841155	EPI841159	EPI841152	EPI841158		EPI841152
A/Lund/7/2016	EPI833768	EPI833767	EPI833765	EPI833772	EPI833766	EPI833771		EPI833766
A/Wisconsin/73/2016	EPI827461	EPI827462	EPI827460	EPI827464	EPI827457	EPI827463		EPI827457
A/Hawaii/64/2016	EPI836480	EPI836481	EPI836479	EPI836483	EPI836476	EPI836482		EPI836476
A/Texas/182/2016	EPI861811	EPI841211	EPI841209	EPI841213	EPI841206	EPI841212		EPI841206
A/Scotland/63440574/2016				EPI831429		EPI859062		
A/Scotland/63440575/2016				EPI831997		EPI859064		
A/Minnesota/77/2016	EPI862566	EPI862567	EPI862565	EPI862569	EPI862562	EPI862568		EPI862562
A/Montana/45/2016	EPI836583	EPI836584	EPI836582	EPI836586	EPI836579	EPI836585		EPI836579
A/Iceland/16963/2016				EPI887383		EPI887384		
A/Iceland/16980/2016				EPI887385		EPI887386		
A/PaysDeLoire/1028/2017	EPI962639	EPI962640	EPI962638	EPI962642	EPI962635	EPI962641		EPI962635
A/California/137/2016	EPI862288	EPI862289	EPI862287	EPI862291	EPI862284	EPI862290		EPI862284
A/Florida/76/2016	EPI857115	EPI857116	EPI857114	EPI857118	EPI857111	EPI857117		EPI857111
A/Kungalv/1/2016	EPI858647	EPI858646	EPI858644	EPI858651	EPI858645	EPI858650		EPI858645
A/Pennsylvania/86/2016	EPI841311	EPI841312	EPI841310	EPI861910	EPI861903	EPI841313		EPI861903
A/Fujian-Fengze/1491/2017				EPI1062727		EPI1062726		
A/Montana/28/2015	EPI685584	EPI685585	EPI685583	EPI685587	EPI685580	EPI685586		EPI685580
A/Alaska/240/2015	EPI677215	EPI677216	EPI677214	EPI677218	EPI677211	EPI677217		EPI677211
A/Ghana/DILI-16-1024/2016				EPI913747		EPI913748		
